step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
321,0.321000,-0.078892,-0.188644,0.000000,-0.078892,9.993330,0.999876
322,0.322000,-0.078931,-0.190612,0.000000,-0.078931,10.338909,0.999875
323,0.323000,-0.079009,-0.191850,0.000000,-0.079009,10.610765,0.999875
324,0.324000,-0.079126,-0.192346,0.000000,-0.079126,10.806590,0.999875
325,0.325000,-0.079283,-0.192096,0.000000,-0.079283,10.924648,0.999874
326,0.326000,-0.079478,-0.191101,0.000000,-0.079478,10.963733,0.999874
327,0.327000,-0.079711,-0.189366,0.000000,-0.079711,10.923255,0.999873
328,0.328000,-0.079983,-0.186902,0.000000,-0.079983,10.803204,0.999872
329,0.329000,-0.080291,-0.183726,0.000000,-0.080291,10.604171,0.999871
330,0.330000,-0.080635,-0.179859,0.000000,-0.080635,10.327360,0.999870
331,0.331000,-0.081012,-0.175330,0.000000,-0.081012,9.974566,0.999869
332,0.332000,-0.081422,-0.170169,0.000000,-0.081422,9.548160,0.999867
333,0.333000,-0.081862,-0.164413,0.000000,-0.081862,9.051108,0.999866
334,0.334000,-0.082330,-0.158102,0.000000,-0.082330,8.486897,0.999864
335,0.335000,-0.082823,-0.151283,0.000000,-0.082823,7.859545,0.999863
336,0.336000,-0.083339,-0.144004,0.000000,-0.083339,7.173551,0.999861
337,0.337000,-0.083875,-0.136316,0.000000,-0.083875,6.433849,0.999859
338,0.338000,-0.084428,-0.128276,0.000000,-0.084428,5.645782,0.999857
339,0.339000,-0.084994,-0.119942,0.000000,-0.084994,4.815041,0.999856
340,0.340000,-0.085571,-0.111374,0.000000,-0.085571,3.947644,0.999854
341,0.341000,-0.086155,-0.102634,0.000000,-0.086155,3.049834,0.999852
