step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
296,0.296000,0.082032,0.079165,0.000000,0.082032,0.218833,0.999860
297,0.297000,0.082262,0.078794,0.000000,0.082262,0.221446,0.999860
298,0.298000,0.082489,0.078439,0.000000,0.082489,0.224005,0.999859
299,0.299000,0.082713,0.078099,0.000000,0.082713,0.225790,0.999858
300,0.300000,0.082932,0.077774,0.000000,0.082932,0.227598,0.999858
301,0.301000,0.083148,0.077465,0.000000,0.083148,0.229237,0.999857
302,0.302000,0.083359,0.077171,0.000000,0.083359,0.229557,0.999857
303,0.303000,0.083566,0.076893,0.000000,0.083566,0.230794,0.999856
304,0.304000,0.083768,0.076631,0.000000,0.083768,0.230856,0.999855
305,0.305000,0.083965,0.076385,0.000000,0.083965,0.231673,0.999855
306,0.306000,0.084158,0.076156,0.000000,0.084158,0.231349,0.999854
307,0.307000,0.084345,0.075942,0.000000,0.084345,0.230669,0.999854
308,0.308000,0.084527,0.075745,0.000000,0.084527,0.230743,0.999853
309,0.309000,0.084704,0.075563,0.000000,0.084704,0.229201,0.999853
310,0.310000,0.084875,0.075399,0.000000,0.084875,0.228293,0.999852
311,0.311000,0.085041,0.075250,0.000000,0.085041,0.226797,0.999852
312,0.312000,0.085201,0.075118,0.000000,0.085201,0.224746,0.999852
313,0.313000,0.085354,0.075001,0.000000,0.085354,0.223127,0.999851
314,0.314000,0.085502,0.074901,0.000000,0.085502,0.220796,0.999851
315,0.315000,0.085644,0.074817,0.000000,0.085644,0.218283,0.999851
316,0.316000,0.085780,0.074749,0.000000,0.085780,0.215287,0.999850
317,0.317000,0.085909,0.074696,0.000000,0.085909,0.212749,0.999850
318,0.318000,0.086032,0.074659,0.000000,0.086032,0.209250,0.999850
319,0.319000,0.086149,0.074638,0.000000,0.086149,0.206243,0.999849
320,0.320000,0.086259,0.074632,0.000000,0.086259,0.202764,0.999849
321,0.321000,0.086363,0.074640,0.000000,0.086363,0.198625,0.999849
322,0.322000,0.086460,0.074664,0.000000,0.086460,0.194500,0.999849
323,0.323000,0.086550,0.074702,0.000000,0.086550,0.190187,0.999849
324,0.324000,0.086634,0.074755,0.000000,0.086634,0.185800,0.999848
325,0.325000,0.086712,0.074822,0.000000,0.086712,0.181487,0.999848
326,0.326000,0.086783,0.074902,0.000000,0.086783,0.177363,0.999848
327,0.327000,0.086847,0.074997,0.000000,0.086847,0.172947,0.999848
328,0.328000,0.086905,0.075104,0.000000,0.086905,0.168072,0.999848
329,0.329000,0.086956,0.075224,0.000000,0.086956,0.163412,0.999848
330,0.330000,0.087001,0.075357,0.000000,0.087001,0.158909,0.999848
331,0.331000,0.087039,0.075503,0.000000,0.087039,0.153801,0.999848
332,0.332000,0.087071,0.075660,0.000000,0.087071,0.148935,0.999848
333,0.333000,0.087096,0.075828,0.000000,0.087096,0.143658,0.999848
334,0.334000,0.087115,0.076008,0.000000,0.087115,0.137979,0.999848
335,0.335000,0.087127,0.076199,0.000000,0.087127,0.132818,0.999848
